MontoCredito;IngresoNeto;CoefCreditoAvaluo;MontoCuota;GradoAcademico;BuenPagador
12538;2;12;Bajo;Bachiller;Si
19159;2;12;Bajo;Bachiller;Si
63073;1;12;Bajo;Bachiller;Si
89168;1;12;Bajo;Bachiller;Si
60493;1;12;Bajo;Bachiller;Si
38841;2;12;Bajo;Bachiller;Si
117470;1;12;Bajo;Bachiller;Si
78099;1;12;Bajo;Bachiller;Si
251489;1;12;Bajo;Bachiller;Si
146038;1;12;Bajo;Bachiller;Si
14448;2;12;Bajo;Bachiller;Si
117382;1;4;Bajo;Licenciatura;Si
94758;1;12;Bajo;Licenciatura;Si
18419;2;6;Bajo;Licenciatura;Si
14167;2;11;Bajo;Licenciatura;Si
14760;2;11;Bajo;Licenciatura;Si
15277;2;11;Bajo;Licenciatura;Si
19029;2;11;Bajo;Licenciatura;Si
41510;1;12;Bajo;Licenciatura;Si
27535;1;12;Bajo;Licenciatura;Si
72455;1;12;Bajo;Licenciatura;Si
76407;2;11;Bajo;Licenciatura;Si
19431;2;6;Bajo;Licenciatura;Si
12883;2;11;Bajo;Licenciatura;Si
17125;2;6;Bajo;Licenciatura;Si
18017;1;9;Bajo;Licenciatura;Si
63147;1;12;Bajo;Licenciatura;Si
16386;2;6;Bajo;Licenciatura;Si
18960;2;7;Bajo;Licenciatura;Si
11319;2;11;Bajo;Licenciatura;Si
11652;2;11;Bajo;Licenciatura;Si
100184;1;4;Bajo;Licenciatura;Si
24410;2;12;Bajo;Licenciatura;Si
40870;1;12;Bajo;Licenciatura;Si
45010;2;11;Bajo;Licenciatura;Si
14153;2;11;Bajo;Licenciatura;Si
39640;2;12;Bajo;Licenciatura;Si
44487;2;12;Bajo;Licenciatura;Si
96489;1;12;Bajo;Licenciatura;Si
15425;1;4;Bajo;Licenciatura;Si
117604;1;11;Bajo;Licenciatura;Si
30600;2;11;Bajo;Licenciatura;Si
14787;1;9;Bajo;Licenciatura;Si
19235;1;12;Bajo;Licenciatura;Si
126284;2;12;Bajo;Bachiller;Si
281744;2;12;Bajo;Bachiller;Si
51019;1;12;Bajo;Bachiller;Si
14372;2;12;Bajo;Bachiller;Si
15476;2;12;Bajo;Bachiller;Si
13422;1;12;Bajo;Bachiller;Si
75219;2;12;Bajo;Bachiller;Si
15063;2;12;Bajo;Bachiller;Si
25861;1;12;Medio;Bachiller;Si
245595;2;12;Bajo;Bachiller;Si
108252;1;12;Bajo;Bachiller;Si
162462;2;12;Bajo;Bachiller;Si
33102;2;12;Bajo;Bachiller;Si
46565;2;12;Bajo;Bachiller;Si
53592;1;12;Bajo;Bachiller;Si
18384;1;12;Bajo;Bachiller;Si
20004;2;12;Bajo;Bachiller;Si
37192;1;12;Medio;Bachiller;Si
36695;2;12;Bajo;Bachiller;Si
10323;2;12;Bajo;Bachiller;Si
11822;2;12;Bajo;Bachiller;Si
55075;1;12;Bajo;Bachiller;Si
41465;2;12;Bajo;Bachiller;Si
12687;2;12;Bajo;Bachiller;Si
49877;2;12;Bajo;Bachiller;Si
18595;1;12;Bajo;Bachiller;Si
20404;2;12;Bajo;Bachiller;Si
215532;2;12;Bajo;Bachiller;Si
22165;1;12;Bajo;Bachiller;Si
14386;2;12;Bajo;Bachiller;Si
30021;2;12;Bajo;Bachiller;Si
19782;2;12;Bajo;Bachiller;Si
13149;2;12;Bajo;Bachiller;Si
18853;2;12;Bajo;Bachiller;Si
39792;2;12;Bajo;Bachiller;Si
37633;2;12;Bajo;Bachiller;Si
10459;1;12;Bajo;Bachiller;Si
35034;2;12;Bajo;Bachiller;Si
16340;1;12;Bajo;Bachiller;Si
103274;1;12;Bajo;Bachiller;Si
12169;2;12;Bajo;Bachiller;Si
26463;2;12;Bajo;Bachiller;Si
49226;2;12;Bajo;Bachiller;Si
43415;2;12;Bajo;Bachiller;Si
20049;2;12;Bajo;Bachiller;Si
19043;1;12;Bajo;Bachiller;Si
49844;2;12;Bajo;Bachiller;Si
79044;2;12;Bajo;Bachiller;Si
41134;2;11;Bajo;Bachiller;Si
10772;2;12;Bajo;Bachiller;Si
15317;2;12;Bajo;Bachiller;Si
46631;2;12;Bajo;Bachiller;Si
17978;2;12;Bajo;Bachiller;Si
73313;1;12;Bajo;Bachiller;Si
17962;1;12;Bajo;Bachiller;Si
19070;2;12;Bajo;Bachiller;Si
37652;2;4;Bajo;Licenciatura;Si
49151;2;12;Bajo;Licenciatura;Si
11417;2;6;Bajo;Licenciatura;Si
38174;2;11;Bajo;Licenciatura;Si
139528;1;12;Bajo;Licenciatura;Si
19509;2;11;Bajo;Licenciatura;Si
18992;2;11;Bajo;Licenciatura;Si
10292;2;12;Bajo;Licenciatura;Si
101122;1;11;Bajo;Licenciatura;Si
17106;2;11;Bajo;Licenciatura;Si
12103;2;11;Bajo;Licenciatura;Si
19323;2;11;Bajo;Licenciatura;Si
87860;2;11;Bajo;Licenciatura;Si
36798;2;11;Bajo;Licenciatura;Si
42892;1;11;Bajo;Licenciatura;Si
30901;1;11;Bajo;Licenciatura;Si
16992;2;4;Bajo;Licenciatura;Si
16592;2;11;Bajo;Licenciatura;Si
108845;1;12;Bajo;Licenciatura;Si
127521;1;9;Bajo;Licenciatura;Si
26703;2;12;Bajo;Licenciatura;Si
23379;2;11;Bajo;Licenciatura;Si
98816;1;12;Bajo;Bachiller;Si
16823;2;7;Bajo;Licenciatura;Si
16728;1;11;Bajo;Licenciatura;Si
12196;1;11;Bajo;Licenciatura;Si
10077;1;11;Bajo;Licenciatura;Si
73331;2;12;Bajo;Licenciatura;Si
42226;1;11;Bajo;Licenciatura;Si
19202;2;11;Bajo;Licenciatura;Si
18513;1;11;Bajo;Licenciatura;Si
18003;1;11;Bajo;Licenciatura;Si
11097;1;11;Bajo;Licenciatura;Si
10713;1;11;Bajo;Licenciatura;Si
14195;1;11;Bajo;Licenciatura;Si
21680;1;12;Bajo;Bachiller;Si
10535;2;12;Bajo;Bachiller;Si
10005;1;11;Bajo;Licenciatura;Si
16860;2;11;Bajo;Licenciatura;Si
27545;2;11;Bajo;Licenciatura;Si
13020;1;12;Bajo;Licenciatura;Si
13933;1;11;Bajo;Licenciatura;Si
15823;1;12;Bajo;Bachiller;Si
114935;1;4;Bajo;Licenciatura;Si
170600;1;11;Bajo;Licenciatura;Si
74044;1;12;Bajo;Bachiller;Si
87818;1;12;Bajo;Bachiller;Si
30039;1;12;Bajo;Bachiller;Si
32356;2;12;Bajo;Bachiller;Si
21538;2;12;Bajo;Bachiller;Si
14892;2;11;Bajo;Licenciatura;Si
31415;1;12;Bajo;Licenciatura;Si
23264;2;12;Bajo;Bachiller;Si
84128;2;12;Bajo;Bachiller;Si
19361;1;12;Bajo;Bachiller;Si
19649;2;11;Bajo;Licenciatura;Si
12432;1;11;Bajo;Licenciatura;Si
49456;2;11;Bajo;Licenciatura;Si
45562;2;11;Bajo;Licenciatura;Si
13052;2;11;Bajo;Licenciatura;Si
19589;1;11;Bajo;Licenciatura;Si
19321;1;11;Bajo;Licenciatura;Si
44531;2;12;Bajo;Bachiller;Si
14904;2;11;Bajo;Licenciatura;Si
120455;1;1;Bajo;Licenciatura;Si
58839;1;1;Bajo;Licenciatura;Si
121446;1;11;Bajo;Licenciatura;Si
10791;2;11;Bajo;Licenciatura;Si
15104;2;11;Bajo;Licenciatura;Si
22929;2;12;Bajo;Licenciatura;Si
14899;2;11;Bajo;Licenciatura;Si
14412;1;11;Bajo;Licenciatura;Si
15853;2;11;Bajo;Licenciatura;Si
14103;2;11;Bajo;Licenciatura;Si
19342;1;11;Bajo;Licenciatura;Si
299082;1;4;Bajo;Licenciatura;Si
22686;1;11;Bajo;Licenciatura;Si
16391;1;4;Bajo;Licenciatura;Si
47631;2;12;Bajo;Licenciatura;Si
36888;1;11;Bajo;Licenciatura;Si
19684;2;12;Bajo;Bachiller;Si
29231;2;12;Bajo;Bachiller;Si
173455;1;12;Bajo;Bachiller;Si
24364;2;12;Bajo;Bachiller;Si
44302;2;12;Bajo;Bachiller;Si
133156;2;12;Bajo;Bachiller;Si
30059;2;11;Bajo;Bachiller;Si
16122;2;12;Bajo;Bachiller;Si
50499;1;12;Bajo;Bachiller;Si
23384;2;12;Bajo;Bachiller;Si
71975;1;12;Bajo;Bachiller;Si
17649;2;12;Bajo;Bachiller;Si
148435;2;12;Bajo;Bachiller;Si
34719;2;12;Bajo;Bachiller;Si
16231;2;12;Bajo;Bachiller;Si
19037;2;12;Bajo;Bachiller;Si
17057;1;12;Bajo;Bachiller;Si
19727;1;12;Bajo;Bachiller;Si
206574;2;12;Bajo;Bachiller;Si
35958;2;12;Bajo;Bachiller;Si
11987;1;12;Bajo;Bachiller;Si
13720;1;12;Bajo;Bachiller;Si
15119;2;12;Bajo;Bachiller;Si
13412;1;12;Medio;Bachiller;Si
11338;2;12;Bajo;Bachiller;Si
261113;2;12;Bajo;Bachiller;Si
72397;2;12;Bajo;Bachiller;Si
11758;2;12;Bajo;Bachiller;Si
18756;2;12;Bajo;Bachiller;Si
13116;2;12;Bajo;Bachiller;Si
33012;2;12;Bajo;Bachiller;Si
29869;2;12;Bajo;Bachiller;Si
10853;2;12;Bajo;Bachiller;Si
14266;1;12;Bajo;Bachiller;Si
15149;2;12;Bajo;Bachiller;Si
13823;2;12;Bajo;Bachiller;Si
11191;2;12;Bajo;Bachiller;Si
20830;2;12;Bajo;Bachiller;Si
19805;2;12;Bajo;Bachiller;Si
15191;2;12;Bajo;Bachiller;Si
19697;2;12;Bajo;Bachiller;Si
12336;1;12;Bajo;Bachiller;Si
18882;1;12;Bajo;Bachiller;Si
18743;2;12;Bajo;Bachiller;Si
265749;1;4;Bajo;Bachiller;Si
17014;2;12;Bajo;Bachiller;Si
10691;2;12;Bajo;Bachiller;Si
12629;2;12;Bajo;Bachiller;Si
48001;1;12;Medio;Bachiller;Si
35075;1;12;Bajo;Bachiller;Si
10815;1;12;Bajo;Bachiller;Si
14054;1;12;Bajo;Bachiller;Si
16862;2;12;Bajo;Bachiller;Si
17627;2;12;Bajo;Bachiller;Si
12619;1;12;Bajo;Bachiller;Si
16889;2;12;Bajo;Bachiller;Si
20889;1;12;Medio;Bachiller;Si
14608;2;12;Bajo;Bachiller;Si
77532;1;12;Bajo;Bachiller;Si
16075;2;12;Bajo;Bachiller;Si
42525;2;12;Bajo;Bachiller;Si
49192;1;12;Bajo;Bachiller;Si
16747;1;12;Bajo;Bachiller;Si
31488;1;12;Bajo;Bachiller;Si
15938;1;12;Bajo;Bachiller;Si
15155;2;12;Bajo;Bachiller;Si
16409;2;12;Bajo;Bachiller;Si
17581;1;12;Bajo;Bachiller;Si
12186;2;12;Bajo;Bachiller;Si
11411;2;12;Bajo;Bachiller;Si
19310;2;12;Bajo;Bachiller;Si
142844;1;12;Bajo;Bachiller;Si
46355;1;12;Bajo;Bachiller;Si
32641;2;12;Bajo;Bachiller;Si
68882;2;12;Bajo;Bachiller;Si
71734;1;12;Bajo;Bachiller;Si
285081;1;12;Bajo;Bachiller;Si
17508;2;12;Bajo;Bachiller;Si
34823;2;12;Bajo;Bachiller;Si
18399;1;12;Bajo;Bachiller;Si
252134;1;1;Bajo;Bachiller;Si
10257;2;12;Bajo;Bachiller;Si
15885;2;12;Bajo;Bachiller;Si
11672;1;12;Bajo;Bachiller;Si
26080;1;12;Bajo;Bachiller;Si
12079;2;12;Bajo;Bachiller;Si
15815;1;12;Bajo;Bachiller;Si
19720;1;11;Bajo;Licenciatura;Si
161810;1;4;Bajo;Licenciatura;Si
111337;1;4;Bajo;Licenciatura;Si
17040;2;11;Bajo;Licenciatura;Si
43898;2;3;Bajo;Licenciatura;Si
47911;2;11;Bajo;Licenciatura;Si
25688;1;5;Bajo;Licenciatura;Si
12149;2;6;Bajo;Licenciatura;Si
38668;2;11;Bajo;Licenciatura;Si
23147;2;11;Bajo;Licenciatura;Si
15422;1;12;Bajo;Licenciatura;Si
13960;1;11;Bajo;Licenciatura;Si
142602;1;4;Bajo;Licenciatura;Si
135133;2;12;Bajo;Licenciatura;Si
30436;1;5;Bajo;Licenciatura;Si
14013;2;11;Bajo;Licenciatura;Si
29386;1;4;Bajo;Licenciatura;Si
91373;1;4;Bajo;Licenciatura;Si
153934;1;12;Bajo;Licenciatura;Si
16592;1;11;Bajo;Licenciatura;Si
41802;2;11;Bajo;Licenciatura;Si
24862;2;11;Bajo;Licenciatura;Si
13187;1;4;Bajo;Licenciatura;Si
13669;2;11;Bajo;Licenciatura;Si
38131;1;4;Bajo;Licenciatura;Si
19368;2;5;Bajo;Licenciatura;Si
33351;2;5;Bajo;Licenciatura;Si
16327;2;11;Bajo;Licenciatura;Si
16508;1;10;Bajo;Licenciatura;Si
13750;1;11;Bajo;Licenciatura;Si
45309;2;12;Bajo;Licenciatura;Si
13487;2;11;Bajo;Licenciatura;Si
146197;1;12;Bajo;Licenciatura;Si
17337;1;4;Bajo;Licenciatura;Si
39704;1;10;Bajo;Licenciatura;Si
18868;2;11;Bajo;Licenciatura;Si
12683;1;4;Bajo;Licenciatura;Si
35700;2;6;Bajo;Licenciatura;Si
21168;1;11;Bajo;Licenciatura;Si
95039;1;4;Bajo;Licenciatura;Si
26817;2;6;Bajo;Licenciatura;Si
14787;2;11;Bajo;Licenciatura;Si
20785;1;10;Bajo;Licenciatura;Si
15506;1;7;Bajo;Licenciatura;Si
16072;2;12;Bajo;Bachiller;Si
135149;1;12;Bajo;Bachiller;Si
49917;2;11;Bajo;Licenciatura;Si
13262;1;12;Bajo;Bachiller;Si
49209;1;11;Bajo;Licenciatura;Si
27832;1;12;Bajo;Licenciatura;Si
23636;2;11;Bajo;Licenciatura;Si
13761;1;12;Bajo;Licenciatura;Si
15081;1;11;Bajo;Licenciatura;Si
23784;2;11;Bajo;Licenciatura;Si
10593;2;12;Bajo;Bachiller;Si
13061;2;12;Bajo;Bachiller;Si
16337;2;12;Bajo;Bachiller;Si
39484;1;4;Bajo;Licenciatura;Si
16003;1;11;Bajo;Licenciatura;Si
13089;1;12;Bajo;Bachiller;Si
33554;2;5;Bajo;Licenciatura;Si
14841;1;12;Bajo;Bachiller;Si
114950;1;12;Bajo;Bachiller;Si
27312;2;12;Bajo;Bachiller;Si
26250;2;11;Bajo;Licenciatura;Si
10535;2;12;Bajo;Licenciatura;Si
32715;2;11;Bajo;Licenciatura;Si
17438;1;12;Bajo;Bachiller;Si
14184;1;12;Alto;Bachiller;Si
42925;2;12;Bajo;Licenciatura;Si
17883;2;11;Bajo;Licenciatura;Si
84029;1;5;Bajo;Licenciatura;Si
23594;2;11;Bajo;Licenciatura;Si
22317;1;11;Bajo;Licenciatura;Si
17336;2;12;Bajo;Licenciatura;Si
130465;2;11;Bajo;Licenciatura;Si
18037;2;12;Medio;Licenciatura;Si
23973;2;11;Medio;Licenciatura;Si
13529;2;12;Bajo;Bachiller;Si
13967;2;12;Bajo;Bachiller;Si
17300;1;12;Medio;Bachiller;Si
48515;2;12;Bajo;Bachiller;Si
14442;1;12;Bajo;Bachiller;Si
19765;1;12;Alto;Bachiller;Si
17456;1;12;Alto;Bachiller;Si
19740;1;12;Bajo;Bachiller;Si
18781;2;12;Bajo;Bachiller;Si
75417;1;12;Bajo;Bachiller;Si
12470;2;12;Bajo;Bachiller;Si
47584;2;12;Bajo;Bachiller;Si
37507;2;12;Bajo;Bachiller;Si
12697;2;12;Bajo;Bachiller;Si
44799;1;12;Bajo;Bachiller;Si
10278;2;12;Bajo;Bachiller;Si
29013;1;12;Bajo;Bachiller;Si
77029;2;12;Bajo;Bachiller;Si
82388;2;12;Bajo;Bachiller;Si
152505;1;12;Bajo;Bachiller;Si
12212;2;12;Bajo;Bachiller;Si
39888;2;12;Bajo;Bachiller;Si
26748;2;12;Bajo;Bachiller;Si
18571;1;12;Bajo;Bachiller;Si
112300;2;12;Bajo;Bachiller;Si
276711;2;12;Bajo;Bachiller;Si
39906;2;12;Bajo;Bachiller;Si
19974;2;12;Bajo;Bachiller;Si
13490;2;12;Bajo;Bachiller;Si
22340;2;12;Bajo;Bachiller;Si
13739;1;12;Bajo;Bachiller;Si
37351;2;12;Bajo;Bachiller;Si
125757;1;12;Bajo;Bachiller;Si
287478;2;12;Bajo;Bachiller;Si
224074;2;12;Bajo;Bachiller;Si
202262;1;1;Bajo;Bachiller;Si
15543;2;7;Bajo;Bachiller;Si
34993;2;12;Bajo;Bachiller;Si
38513;2;12;Bajo;Bachiller;Si
44996;1;12;Bajo;Bachiller;Si
10909;1;12;Medio;Bachiller;Si
233688;1;12;Bajo;Bachiller;Si
12188;1;12;Bajo;Bachiller;Si
281676;2;12;Bajo;Bachiller;Si
204429;1;12;Bajo;Bachiller;Si
298736;2;12;Bajo;Bachiller;Si
178459;2;12;Bajo;Bachiller;Si
61300;1;12;Bajo;Bachiller;Si
261416;2;12;Bajo;Bachiller;Si
143438;2;12;Bajo;Bachiller;Si
19342;2;12;Bajo;Bachiller;Si
14147;2;11;Bajo;Bachiller;Si
295634;2;12;Bajo;Bachiller;Si
91372;1;12;Bajo;Bachiller;Si
192308;2;12;Bajo;Bachiller;Si
