"";"TiempoInfiel";"Genero";"Edad";"AnnosCasado";"Hijos";"Religioso";"Educacion";"Ocupacion";"Valoracion"
"350";0;"male";27;1.5;"no";4.74;20.04;"5";"infeliz"
"351";0;"female";27;1.5;"no";2.29;16.47;"5";"muy feliz"
"352";0;"female";27;1.5;"no";2.52;17.31;"5";"muy feliz"
"353";0;"male";22;0.125;"no";5.45;15.87;"4";"feliz"
"354";0;"female";27;4;"yes";3.95;16.41;"1";"muy feliz"
"355";0;"female";27;4;"yes";4.24;12.39;"1";"muy feliz"
"356";0;"female";47;15;"yes";2.5;14.99;"5";"muy feliz"
"357";0;"female";32;15;"yes";2.75;14.87;"5";"neural"
"358";0;"male";42;7;"yes";2.33;15.98;"5";"muy feliz"
"359";0;"male";22;0.75;"no";4.34;15.84;"6";"feliz"
"360";0;"male";27;0.125;"no";3.09;19.81;"6";"muy feliz"
"361";0;"male";32;10;"yes";3.4;20.3;"6";"muy feliz"
"362";0;"female";22;0.417;"no";5.14;13.82;"4";"muy feliz"
"363";0;"female";47;15;"yes";5.14;13.87;"1";"feliz"
"364";0;"female";32;10;"yes";2.55;14.75;"1";"muy feliz"
"365";0;"male";57;15;"yes";3.74;17.31;"5";"muy feliz"
"366";0;"male";27;4;"yes";3.48;19.88;"6";"muy feliz"
"367";0;"female";32;7;"yes";4.47;17.06;"1";"muy feliz"
"368";0;"female";37;10;"yes";4.23;16.05;"1";"muy feliz"
"369";0;"female";32;10;"yes";1.32;18.37;"1";"feliz"
"370";0;"female";22;4;"no";2.58;13.7;"1";"feliz"
"371";0;"female";27;7;"yes";3.8;14.76;"3";"infeliz"
"372";0;"male";57;15;"yes";5;17.71;"5";"infeliz"
"373";0;"male";32;7;"yes";1.84;18.37;"5";"muy feliz"
"374";0;"female";27;1.5;"no";4.39;17.15;"1";"neural"
"375";0;"male";22;1.5;"no";3.66;14.92;"5";"muy feliz"
"376";0;"female";22;1.5;"yes";3.87;13.44;"5";"feliz"
"377";0;"female";32;7;"yes";2.75;16.22;"1";"muy feliz"
"378";0;"female";47;15;"yes";3.04;16.41;"5";"feliz"
"379";0;"female";22;0.75;"no";2.51;15.78;"1";"muy feliz"
"380";0;"female";22;1.5;"yes";2.42;14.36;"5";"muy feliz"
"381";0;"female";27;4;"yes";1.28;16.28;"5";"muy feliz"
"382";0;"male";52;15;"yes";3.53;16.17;"5";"muy feliz"
"383";0;"male";32;10;"yes";3.84;19.78;"6";"muy feliz"
"384";0;"male";47;15;"yes";4.45;15.66;"6";"feliz"
"385";0;"female";27;7;"yes";1.7;14.12;"1";"infeliz"
"386";0;"female";22;1.5;"no";4.4;13.54;"4";"muy feliz"
"387";0;"female";32;10;"yes";1.55;15.91;"5";"feliz"
"388";0;"female";22;0.75;"no";1.66;15.74;"5";"feliz"
"389";0;"female";22;1.5;"no";2.41;16.2;"5";"muy feliz"
"390";0;"female";42;15;"yes";3.36;18.05;"6";"feliz"
"391";0;"female";27;7;"yes";4.66;14.98;"4";"muy feliz"
"392";0;"male";42;15;"yes";3.67;15.85;"4";"feliz"
"393";0;"female";57;15;"yes";2.55;18.08;"5";"infeliz"
"394";0;"male";42;15;"yes";3.14;17.96;"6";"infeliz"
"395";0;"female";32;7;"yes";1.95;14.8;"1";"infeliz"
"396";0;"male";22;4;"no";4.8;11.92;"4";"muy feliz"
"397";0;"female";22;1.5;"no";1.45;16.2;"6";"muy feliz"
"398";0;"female";22;0.75;"no";1.02;13.85;"4";"muy feliz"
"399";0;"female";32;15;"yes";3.74;12.94;"1";"muy feliz"
"400";0;"male";22;1.5;"no";2.04;17.9;"5";"neural"
"401";0;"male";27;4;"yes";5.47;17.28;"2";"muy feliz"
"402";0;"female";27;4;"yes";3.61;11.57;"1";"muy feliz"
"403";0;"male";42;15;"yes";4.55;17.78;"5";"feliz"
"404";0;"male";32;1.5;"no";1.69;20.48;"7";"neural"
"405";0;"male";57;15;"no";4.36;8.89;"3";"muy infeliz"
"406";0;"male";37;7;"no";3.75;17.87;"5";"muy feliz"
